ScientificName,CommonName,Lmax,TL,Habitat,MeanCatch
Clupeoids,"Herrings, sardines, anchovies",25,2.7,Pelagic,209171.5129
Scombroids,"Tunas, bonitos, billfishes",376,4.2,Pelagic,118429.6078
"Sharks, rays, chimaeras","Sharks, rays, skates, etc",300,4,DemMed,262698.7802
Marine fishes not identified,Marine fishes,50,3.28,DemSm,6538479.621
Homaridae/Paniluridae,"Lobsters, spiny-rock lobsters",50,2.6,Invert,320.0474138
Miscellaneous marine crustaceans,Marine crustaceans,20,2.7,Invert,415779.0259
Miscellaneous marine molluscs,Marine molluscs,13,2.27,Invert,514788
Marine fishes not identified,Finfishes,30,3.23,DemSm,169962.3017
Marine fishes not identified,Groundfishes,30,3.22,DemSm,19099.25862
Marine fishes not identified,Pelagic fishes,50,3.35,DemSm,23809.95259
"Shrimps, prawns",Natantian decapods,20,2.65,Invert,464181.1897
"Sharks, rays, chimaeras",Various sharks,150,4,DemMed,6864.810345
Elasmobranchii,Sharks and rays,729,4.05,DemMed,1185.469828
Cephalopoda,Cephalopods,30,3.81,Invert,80263.15948
Ascidiacea,Sea squirts,5,3,Invert,1328.487069
Gastropoda,Gastropods,30,3.06,Invert,12152.73707
Asteroidea,Sea stars,18,3.4,Invert,2099.633621
Holothuroidea,Sea cucumbers,15,2,Invert,5919.25431
Carchariniformes,Ground sharks,525,4.08,Pelagic,14518.51724
Rajiformes,Skates and rays,205,3.61,DemMed,97775.68103
Clupeiformes,Herrings,25,3.24,Pelagic,991.8793103
Gadiformes,Cods,80,3.91,DemMed,18446.44828
Perciformes,Perch-likes,50,3.53,DemSm,257373.9095
Pleuronectiformes,Flatfishes,50,3.57,DemMed,341379.3362
Teuthida,Squids,30,4.13,Invert,294727.3966
Stomatopoda,Mantis shrimps,20,4.2,Invert,298.1594828
Myxinidae,Hagfishes,80,3.45,DemMed,392.9482759
Lamnidae,"Mackerel sharks, white sharks",375,4.51,Pelagic,57.67241379
Carcharhinidae,Requiem sharks,525,4.24,Pelagic,31138.13362
Sphyrnidae,"Hammerhead, bonnethead, scoophead shark",421,4.19,Pelagic,419.0086207
Squatinidae,Angel sharks,215,4.13,Pelagic,531.1982759
Rhinobatidae,Guitarfishes,139,3.7,DemLg,693.8577586
Dasyatidae,Stingrays,40,3.38,DemLg,1493.551724
Myliobatidae,Eagle and manta rays,200,3.36,DemLg,205.8189655
Muraenidae,Moray eels,100,4.07,DemMed,144.8275862
Salmonidae,Salmonids,140,3.3,DemLg,2308.366379
Osmeridae,Smelts,32,3.47,Pelagic,2797.030172
Ariidae,Sea catfishes,62,3.48,DemMed,168992.4698
Synodontidae,Lizardfishes,56,4.3,DemMed,55587.43103
Chlorophthalmidae,Greeneyes,29,3.62,DemSm,885.4482759
Myctophidae,Lanternfishes,16,3.3,Pelagic,1229.724138
Moridae,Codlings,29,3.87,DemSm,11963.32328
Macrouridae,Grenadiers or rattails,82,3.88,DemMed,4652.103448
Ophidiidae,Cusk-eels,148,3.67,DemMed,190.2586207
Lophiidae,Goosefishes,150,4.46,DemMed,3903.836207
Exocoetidae,Flyingfishes,25,3.57,Pelagic,43160.98707
Belonidae,Needlefishes,122,4.38,Pelagic,489.7112069
Atherinidae,Silversides,12,3.2,Pelagic,10875.04741
Zeidae,Dories,79,4.49,DemMed,141.5517241
Oreosomatidae,Oreos,40,3.69,Pelagic,11936.68966
Scorpaenidae,Scorpionfishes or rockfishes,43,3.92,DemMed,51134.21552
Triglidae,Searobins,25,3.74,DemSm,14819.46983
Platycephalidae,Flatheads,87,3.9,DemMed,3084.280172
Cottidae,Sculpins,50,3.81,DemSm,508.2327586
Serranidae,"Sea basses, groupers, fairy basslets",190,3.98,DemSm,43949.78448
Apogonidae,Cardinalfishes,12,3.54,DemSm,126.2413793
Sillaginidae,Smelt-whitings,43,3.26,DemMed,14139.85776
Malacanthidae,Tilefishes,102,3.62,DemMed,9614.017241
Carangidae,Jacks and pompanos,164,4.05,Pelagic,208662.7069
Menidae,Peruvian moonfish,30,3.45,Reef-associated,8827.327586
Leiognathidae,"Slimys, slipmouths, or ponyfishes",12,3.24,DemSm,128583.3448
Lutjanidae,Snappers,98,4.02,DemMed,51547.44828
Nemipteridae,"Threadfin breams, Whiptail breams",35,3.51,DemSm,41240.32759
Gerreidae,Mojarras,25,3.03,DemSm,9907.952586
Haemulidae,Grunts,80,3.36,DemMed,47625.56034
Lethrinidae,Emperors or scavengers,70,3.59,DemMed,40593.77155
Sparidae,Porgies,164,3.31,DemMed,125023.875
Sciaenidae,Drums or croakers,200,3.76,DemMed,308917.9871
Mullidae,Goatfishes,55,3.46,DemMed,44831.69397
Ephippidae,"Spadefishes, batfishes and scats",30,3.57,DemMed,52.16810345
Latridae,Trumpeters,74,3.3,DemMed,585.7025862
Mugilidae,Mullets,120,2.53,DemMed,134928.3578
Labridae,Wrasses,75,3.46,DemSm,8868.043103
Scaridae,Parrotfishes,41,2,DemMed,692.7672414
Channichthyidae,Crocodile icefishes,59,3.34,DemMed,130.6594828
