TripNum,SimplifiedTripNum,Date,Year,Port,TotalAnglers,ObsAnglers,ObsAngavg,TotalMinutes,TotalFish
cp1/en.sr,1,2003-07-09,2003,San Luis,NA,15,12.3500003814697,208,184
cp2/en.sr,2,2003-07-11,2003,Morro Bay,NA,28,21.7777786254883,205,147
cp3/en.sr,3,2003-07-14,2003,San Luis,NA,17,14.7647056579590,278,175
cp4/en.sr,4,2003-07-15,2003,Morro Bay,NA,18,15.2222223281860,279,162
cp5/en.sr,5,2003-07-16,2003,San Luis,NA,20,16.4666671752930,136,73
cp6/en.sr,6,2003-07-18,2003,Morro Bay,NA,14,11.9333333969116,161,102
cp7/en.sr,7,2003-07-22,2003,Morro Bay,33,21,19.5,171,146
cp8/en.sr,8,2003-07-23,2003,San Luis,37,23,21.230770111084,98,112
cp9/en.sr,9,2003-07-24,2003,Morro Bay,35,21,18.5833339691162,240,217
cp10/en.sr,10,2003-07-25,2003,San Luis,28,21,19.2666664123535,121,112
cp11/en.sr,11,2003-07-28,2003,Morro Bay,33,17,14.4285717010498,124,108
cp12/en.sr,12,2003-07-29,2003,San Luis,26,18,16.1764698028564,165,141
cp13/en.sr,13,2003-07-30,2003,Morro Bay,35,22,17.1538467407227,176,186
cp14/en.sr,14,2003-07-31,2003,San Luis,38,21,14,143,163
cp15/en.sr,15,2003-08-05,2003,Morro Bay,48,22,16.75,256,191
cp16/en.sr,16,2003-08-08,2003,Morro Bay,NA,15,10,183,151
cp17/en.sr,17,2003-08-11,2003,San Luis,22,18,13.6666669845581,182,177
cp18/en.sr,18,2003-08-12,2003,Morro Bay,33,15,13,163,135
cp19/en.sr,19,2003-08-13,2003,San Luis,17,14,12.8000001907349,206,186
cp20/en.sr,20,2003-08-14,2003,Morro Bay,26,13,11.5555553436279,179,103
cp21/en.js,21,2003-08-18,2003,San Luis,17,11,10.875,173,140
cp22/en.rn,22,2003-08-19,2003,San Luis,36,12,10.9375,138,83
cp23/af.en,23,2003-08-21,2003,San Luis,32,16,14.9090900421143,112,149
cp24/en.jw,24,2003-08-26,2003,Morro Bay,14,13,11,205,165
cp25/en.jw,25,2003-08-28,2003,Morro Bay,19,14,12.0909090042114,266,246
cp26/en.sr,26,2003-09-01,2003,San Luis,NA,15,11.2222223281860,150,139
cp27/en.sr,27,2003-09-02,2003,Morro Bay,14,11,9.5714282989502,213,210
cp28/en.sr,28,2003-09-03,2003,Morro Bay,34,16,13.8000001907349,195,146
cp29/en.sr,29,2003-09-04,2003,San Luis,31,13,12.3333330154419,139,181
cp30/en.sr,30,2003-09-08,2003,Morro Bay,19,11,8.5833330154419,178,118
cp31/en.sr,31,2003-09-09,2003,San Luis,15,13,12,188,187
cp32/en.sr,32,2003-09-10,2003,San Luis,NA,15,11.8823528289795,165,183
cp33/en.sr,33,2003-09-12,2003,Morro Bay,18,10,8.88888931274414,188,157
cp34/en.sr,34,2003-09-17,2003,Morro Bay,23,13,8.88888931274414,169,178
cp35/en.sr,35,2003-09-18,2003,Morro Bay,20,10,12.5,175,169
cp36/en,36,2003-09-19,2003,San Luis,21,7,7.8461537361145,139,98
cp37/en.sr,37,2003-09-22,2003,San Luis,14,8,6.16666650772095,145,165
cp38/en,38,2003-09-23,2003,Morro Bay,10,7,7.25,257,171
cp39/en.sr,39,2003-09-24,2003,Morro Bay,27,12,6.45454549789429,202,252
